fb_a	fb_b	symbol_a	symbol_b	interaction
FBgn0004198	FBgn0002781	ct	mod(mdg4)	genetic
FBgn0004861	FBgn0040075	ph-p	rept	genetic
FBgn0285896	FBgn0022739	btl	btl::Egfr	genetic
FBgn0040336	FBgn0011286	Seipin	RyR	genetic
FBgn0029891	FBgn0023517	Pink1	Pgam5	genetic
FBgn0015279	FBgn0022739	Pi3K92E	btl::Egfr	genetic
FBgn0288433	FBgn0085062	L	EP1324	genetic
FBgn0003965	FBgn0003575	v	su(sable)	genetic
FBgn0002914	FBgn0023509	Myb	mip130	genetic
FBgn0036741	FBgn0003716	anchor	tkv	genetic
FBgn0264959	FBgn0003731	Src42A	Egfr	genetic
FBgn0001169	FBgn0052521	H	Mnr	genetic
FBgn0015799	FBgn0004647	Rbf	N	genetic
FBgn0038197	FBgn0004177	foxo	mts	genetic
FBgn0004644	FBgn0003326	hh	sca	genetic
FBgn0086656	FBgn0024227	shrb	aurB	genetic
FBgn0036007	FBgn0005198|FBgn0026317	path	gig|Tsc1	genetic
FBgn0004956	FBgn0032949	upd1	Lamp1	genetic
FBgn0000022	FBgn0001168	ac	hry	genetic
FBgn0034970	FBgn0041092	yki	tai	genetic
FBgn0011592|FBgn0014020	FBgn0003514	fra|Rho1	sqh	genetic
FBgn0243512	FBgn0260945	puc	Atg1	genetic
FBgn0003117	FBgn0004110	pnr	tin	genetic
FBgn0014179	FBgn0041111	gcm	lilli	genetic
FBgn0011297	FBgn0011739	Alg3	wts	genetic
FBgn0010379|FBgn0020386	FBgn0041094	Akt|Pdk1	scyl	genetic
FBgn0035437	FBgn0027509	Strip	Tbcd	genetic
FBgn0033483	FBgn0034314	egr	nopo	genetic
FBgn0028734	FBgn0266076	Fmr1	mir-276a	genetic
FBgn0263289|FBgn0003079	FBgn0037875	scrib|Raf	ZnT86D	genetic
FBgn0002543	FBgn0000560	robo2	eg	genetic
FBgn0036136	FBgn0025790	Ufd1	TBPH	genetic
FBgn0011829	FBgn0010902	Ret	l(3)06803	genetic
FBgn0003339	FBgn0026160	Scr	tna	genetic
FBgn0262401	FBgn0261456	mir-285	hpo	genetic
FBgn0029891	FBgn0028375	Pink1	heix	genetic
FBgn0003371	FBgn0010288	sgg	Uch	genetic
FBgn0000416	FBgn0013995	Sap-r	Calx	genetic
FBgn0264291	FBgn0024227	Det	aurB	genetic
FBgn0010909	FBgn0028546	msn	ics	genetic
FBgn0001325	FBgn0014388	Kr	sty	genetic
FBgn0004864	FBgn0267487	hop	Ptp61F	genetic
FBgn0028734	FBgn0264307	Fmr1	orb2	genetic
FBgn0003463	FBgn0266136	sog	Gyc76C	genetic
FBgn0028734	FBgn0262114	Fmr1	RanBPM	genetic
FBgn0011259	FBgn0000635	Sema1a	Fas2	genetic
FBgn0035001	FBgn0010303	Slik	hep	genetic
FBgn0027598	FBgn0020224	cindr	Cbl	genetic
FBgn0262738	FBgn0283678	norpA	Osi21	genetic
FBgn0027598	FBgn0000308	cindr	chic	genetic
FBgn0025615	FBgn0029067	Torsin	Dd	genetic
FBgn0001108	FBgn0262067	DCTN1-p150	EG7	genetic
FBgn0263200	FBgn0035147	Galt	Gale	genetic
FBgn0026761	FBgn0020307	Trap1	dve	genetic
FBgn0011715	FBgn0035166	Snr1	JMJD5	genetic
FBgn0001169	FBgn0084135	H	EP1410	genetic
FBgn0014020	FBgn0041111	Rho1	lilli	genetic
FBgn0004647	FBgn0053554	N	Nipped-A	genetic
FBgn0019624	FBgn0039044	COX5A	p53	genetic
FBgn0004050	FBgn0000617	z	Taf9	genetic
FBgn0000490	FBgn0003719	dpp	tld	genetic
FBgn0003996	FBgn0020612	w	Ufo	genetic
FBgn0267849	FBgn0243512	Syx7	puc	genetic
FBgn0266098	FBgn0003205	rg	Ras85D	genetic
FBgn0000464	FBgn0024277	Lar	trio	genetic
FBgn0004198	FBgn0015218	ct	eIF4E1	genetic
FBgn0261885	FBgn0026160	osa	tna	genetic
FBgn0011817	FBgn0052475	nmo	mthl8	genetic
FBgn0265598	FBgn0003117	Bx	pnr	genetic
FBgn0003731	FBgn0286828	Egfr	dind	genetic
FBgn0002577	FBgn0003447	m	sn	genetic
FBgn0001075	FBgn0034970	ft	yki	genetic
FBgn0001108	FBgn0025790	DCTN1-p150	TBPH	genetic
FBgn0265598	FBgn0003567	Bx	su(Hw)	genetic
FBgn0000121	FBgn0287478	Arr2	Camta	genetic
FBgn0005632	FBgn0259676	faf	Prim2	genetic
FBgn0014411	FBgn0003557	Vps26	Su(dx)	genetic
FBgn0001983	FBgn0010382	wor	CycE	genetic
FBgn0015279|FBgn0022739	FBgn0000229	Pi3K92E|btl::Egfr	bsk	genetic
FBgn0263873	FBgn0029157	sick	ssh	genetic
FBgn0000524	FBgn0038325	dx	Atg4b	genetic
FBgn0010303	FBgn0003371	hep	sgg	genetic
FBgn0010591	FBgn0002524	Sply	lace	genetic
FBgn0003733	FBgn0014040	tor	Su(tor)1-163	genetic
FBgn0010501	FBgn0283451	Dcp-1	br	genetic
FBgn0003117	FBgn0003963	pnr	ush	genetic
FBgn0029891	FBgn0259139	Pink1	glo	genetic
FBgn0005672|FBgn0052179	FBgn0003984	spi|Krn	vn	genetic
FBgn0032901	FBgn0000482	sky	dor	genetic
FBgn0003079	FBgn0000097	Raf	aop	genetic
FBgn0003053	FBgn0000308	peb	chic	genetic
FBgn0011715	FBgn0004107	Snr1	Cdk2	genetic
FBgn0262738	FBgn0261549	norpA	rdgA	genetic
FBgn0260397	FBgn0031759	Su(var)3-3	Kdm5	genetic
FBgn0037562|FBgn0023530	FBgn0030608	Nazo|CG3740	Lsd-2	genetic
FBgn0029891	FBgn0004373	Pink1	fwd	genetic
FBgn0010382	FBgn0004483	CycE	l(1)air10	genetic
FBgn0010333	FBgn0015513	Rac1	mbc	genetic
FBgn0004914	FBgn0004797	Hnf4	mdy	genetic
FBgn0002566	FBgn0004849|FBgn0004557	lt	Su(var)2-1|Su(var)208	genetic
FBgn0003256	FBgn0003205	rl	Ras85D	genetic
FBgn0003028	FBgn0264270	ovo	Sxl	genetic
FBgn0003731	FBgn0001169	Egfr	H	genetic
FBgn0260653	FBgn0010435	serp	emp	genetic
FBgn0004644	FBgn0004449	hh	Ten-m	genetic
FBgn0004956	FBgn0265297	upd1	pAbp	genetic
FBgn0010333	FBgn0024179	Rac1	wit	genetic
FBgn0003205	FBgn0036844	Ras85D	Mkp3	genetic
FBgn0036340	FBgn0265998	Srrm1	Doa	genetic
FBgn0289323	FBgn0031375	IntS8	erm	genetic
FBgn0002940	FBgn0043900	ninaE	pygo	genetic
FBgn0010825	FBgn0263106	Gug	DnaJ-1	genetic
FBgn0286070	FBgn0261119	cnk	Prp19	genetic
FBgn0003984	FBgn0004635	vn	rho	genetic
FBgn0039859	FBgn0034970	Mnat9	yki	genetic
FBgn0003996	FBgn0002783	w	mor	genetic
FBgn0005672	FBgn0003028	spi	ovo	genetic
FBgn0013674	FBgn0284252	mt:CoI	Letm1	genetic
FBgn0003048	FBgn0001218	pcx	Hsc70-3	genetic
FBgn0024234	FBgn0003716	gbb	tkv	genetic
FBgn0038868	FBgn0283472	Ddrgk1	S6k	genetic
FBgn0003319	FBgn0000555	Sb	E(f)	genetic
FBgn0003205	FBgn0003502	Ras85D	Btk	genetic
FBgn0265598	FBgn0261885	Bx	osa	genetic
FBgn0003205|FBgn0001624	FBgn0003118	Ras85D|dlg1	pnt	genetic
FBgn0027535	FBgn0024234	botv	gbb	genetic
FBgn0035934	FBgn0028374	TrpA1	Hug	genetic
FBgn0004647	FBgn0003557	N	Su(dx)	genetic
FBgn0003416	FBgn0283499	sl	InR	genetic
FBgn0283499	FBgn0025800	InR	Smox	genetic
FBgn0000463|FBgn0033029	FBgn0000405	Delta|Not3	CycB	genetic
FBgn0005617	FBgn0266083	msl-1	ocm	genetic
FBgn0024320	FBgn0026317|FBgn0005198	Npc1a	Tsc1|gig	genetic
FBgn0033483	FBgn0243512	egr	puc	genetic
FBgn0033972	FBgn0034543	Ciao1	galla-1	genetic
FBgn0000015	FBgn0002552	Abd-B	lin	genetic
FBgn0040071	FBgn0026160	tara	tna	genetic
FBgn0261456|FBgn0004859	FBgn0034970	hpo|ci	yki	genetic
FBgn0030452	FBgn0035649	MFS10	PXo	genetic
FBgn0003447	FBgn0262111	sn	f	genetic
FBgn0011666	FBgn0014007	msi	Ptp69D	genetic
FBgn0004569	FBgn0003310	aos	S	genetic
FBgn0010269	FBgn0004644	Dsor1	hh	genetic
FBgn0003205	FBgn0003118	Ras85D	pnt	genetic
FBgn0260945	FBgn0004101	Atg1	bs	genetic
FBgn0283426	FBgn0000097	lncRNA:acal	aop	genetic
FBgn0284408	FBgn0000606	trol	eve	genetic
FBgn0035407	FBgn0011760	Asciz	ctp	genetic
FBgn0031114	FBgn0261854	cactin	aPKC	genetic
FBgn0034314	FBgn0019686	nopo	lok	genetic
FBgn0021796	FBgn0260945	mTor	Atg1	genetic
FBgn0010051|FBgn0004435	FBgn0004611	Itpr|Gαq	Plc21C	genetic
FBgn0030600	FBgn0003716	hiw	tkv	genetic
FBgn0000017|FBgn0004108	FBgn0000578	Abl|Nrt	ena	genetic
FBgn0005631	FBgn0033159	robo1	Dscam1	genetic
FBgn0003345	FBgn0031698	sd	Ncoa6	genetic
FBgn0027598	FBgn0000017	cindr	Abl	genetic
FBgn0037875	FBgn0025693	ZnT86D	ZnT41F	genetic
FBgn0020306	FBgn0000463	dom	Delta	genetic
FBgn0025742	FBgn0004907	mtm	14-3-3ζ	genetic
FBgn0025457	FBgn0003525	Bub3	stg	genetic
FBgn0015946	FBgn0039234	grim	Nct	genetic
FBgn0263289	FBgn0034970	scrib	yki	genetic
FBgn0035142	FBgn0034970	Hipk	yki	genetic
FBgn0003444	FBgn0083288	smo	E(smoDN)2070	genetic
FBgn0037562	FBgn0036449	Nazo	bmm	genetic
FBgn0015279|FBgn0022739	FBgn0035049	Pi3K92E|btl::Egfr	Mmp1	genetic
FBgn0029891	FBgn0039802	Pink1	dj-1β	genetic
FBgn0000250	FBgn0010441	cact	pll	genetic
FBgn0003130	FBgn0005561	Poxn	sv	genetic
FBgn0285944	FBgn0003392	para	shi	genetic
FBgn0034110	FBgn0000229	Atg9	bsk	genetic
FBgn0001108	FBgn0015754	DCTN1-p150	Lis-1	genetic
FBgn0036897	FBgn0026597	Rnf146	Axn	genetic
FBgn0003008	FBgn0037218	or	aux	genetic
FBgn0262081	FBgn0001961	Csk	Arpc1	genetic
FBgn0029687	FBgn0004373	Vap33	fwd	genetic
FBgn0004198|FBgn0002781	FBgn0264922|FBgn0010602	ct|mod(mdg4)	Sumo|lwr	genetic
FBgn0005558	FBgn0000625	ey	eyg	genetic
FBgn0015279|FBgn0022739	FBgn0261385	Pi3K92E|btl::Egfr	scra	genetic
FBgn0003205	FBgn0039044	Ras85D	p53	genetic
FBgn0020493	FBgn0014020	Dad	Rho1	genetic
FBgn0000121	FBgn0262738	Arr2	norpA	genetic
FBgn0011829	FBgn0011380	Ret	l(3)j5B6	genetic
FBgn0266464	FBgn0004957	Nsf2	por	genetic
FBgn0267978|FBgn0265598	FBgn0037021	ap|Bx	Pcif1	genetic
FBgn0016693	FBgn0004647	Past1	N	genetic
FBgn0034072	FBgn0032305	Dg	CG6700	genetic
FBgn0261550	FBgn0038453	Orp8	Arl6IP1	genetic
FBgn0000536	FBgn0261698	eas	SLO2	genetic
FBgn0010415	FBgn0000464	Sdc	Lar	genetic
FBgn0034970	FBgn0262451	yki	mir-ban	genetic
FBgn0003366	FBgn0015778	sev	rin	genetic
FBgn0010382	FBgn0082629	CycE	S(CycE<up>JP</up>)2.9	genetic
FBgn0260987	FBgn0260945	vtd	Atg1	genetic
FBgn0013725	FBgn0002744	phyl	mib	genetic
FBgn0003997	FBgn0015773	hid	NetA	genetic
FBgn0029891	FBgn0051721	Pink1	Trim9	genetic
FBgn0260642|FBgn0003042	FBgn0260987	Antp|Pc	vtd	genetic
FBgn0000463	FBgn0000253	Delta	Cam	genetic
FBgn0029094	FBgn0022764	asf1	Sin3A	genetic
FBgn0003996	FBgn0034261	w	HPS4	genetic
FBgn0283426	FBgn0003209	lncRNA:acal	raw	genetic
FBgn0003041	FBgn0034140	pbl	Lst	genetic
FBgn0004647	FBgn0000575	N	emc	genetic
FBgn0004177	FBgn0038197	mts	foxo	genetic
FBgn0283657	FBgn0029094	Tlk	asf1	genetic
FBgn0001084	FBgn0264272	fy	mwh	genetic
FBgn0003129	FBgn0010382	Poxm	CycE	genetic
FBgn0243512	FBgn0001291	puc	Jra	genetic
FBgn0040823	FBgn0052791	dpr6	DIP-α	genetic
FBgn0013724	FBgn0001233	Raf::tor	Hsp83	genetic
FBgn0031759	FBgn0003733	Kdm5	tor	genetic
FBgn0264270	FBgn0029120	Sxl	Su(Sxl<up>fs</up>)46	genetic
FBgn0285913	FBgn0001296	red	kar	genetic
FBgn0036641	FBgn0002036	Smn	CG10561	genetic
FBgn0031374	FBgn0000147	Wdr62	aurA	genetic
FBgn0004391	FBgn0260635	shtd	Diap1	genetic
FBgn0040298	FBgn0000405	Myt1	CycB	genetic
FBgn0010382	FBgn0003302	CycE	rux	genetic
FBgn0002576	FBgn0003559	lz	su(f)	genetic
FBgn0034975	FBgn0013820	enok	Delta::N	genetic
FBgn0013733	FBgn0001297	shot	kay	genetic
FBgn0025680	FBgn0003068	cry	per	genetic
FBgn0003079	FBgn0010269	Raf	Dsor1	genetic
FBgn0004169	FBgn0264695	up	Mhc	genetic
FBgn0003345	FBgn0263933	sd	ebi	genetic
FBgn0003206	FBgn0003716	Ras64B	tkv	genetic
FBgn0003996	FBgn0000617	w	Taf9	genetic
FBgn0029891	FBgn0026479	Pink1	Drp1	genetic
FBgn0001624	FBgn0011604	dlg1	Iswi	genetic
FBgn0004170	FBgn0003567	sc	su(Hw)	genetic
FBgn0004647	FBgn0039273	N	shams	genetic
FBgn0003330	FBgn0041184	Sce	Socs36E	genetic
FBgn0001139	FBgn0003731	gro	Egfr	genetic
FBgn0261794	FBgn0266579	kcc	tau	genetic
FBgn0052062	FBgn0002573	Rbfox1	sens	genetic
FBgn0003205	FBgn0038795	Ras85D	Tmlh	genetic
FBgn0260747	FBgn0034259	Chchd2	P32	genetic
FBgn0019957	FBgn0000261	ND-42	Cat	genetic
FBgn0261617	FBgn0004635	nej	rho	genetic
FBgn0022739	FBgn0003514	btl::Egfr	sqh	genetic
FBgn0003209	FBgn0003716	raw	tkv	genetic
FBgn0001122	FBgn0004921	Gαo	Gγ1	genetic
FBgn0002121	FBgn0002973	l(2)gl	numb	genetic
FBgn0002121	FBgn0261854	l(2)gl	aPKC	genetic
FBgn0260987	FBgn0000229	vtd	bsk	genetic
FBgn0260003	FBgn0022960	Dys	vimar	genetic
FBgn0039207	FBgn0263107	Cftr	mir-bft	genetic
FBgn0004884	FBgn0000182	bwk	BicC	genetic
FBgn0031885	FBgn0001297	Mnn1	kay	genetic
FBgn0004861	FBgn0000490	ph-p	dpp	genetic
FBgn0001965	FBgn0040068	Sos	Vav	genetic
FBgn0283451	FBgn0002723	br	Met	genetic
FBgn0013724	FBgn0013725	Raf::tor	phyl	genetic
FBgn0043900	FBgn0062521	pygo	lgs::pygo	genetic
FBgn0264270|FBgn0003449	FBgn0014366	Sxl|snf	noi	genetic
FBgn0011259	FBgn0000635	Sema1a	Fas2	genetic
FBgn0261456	FBgn0024187	hpo	syd	genetic
FBgn0010382	FBgn0014847	CycE	Egfr::tor	genetic
FBgn0004034|FBgn0004170	FBgn0000618	y|sc	e(y)2	genetic
FBgn0034792	FBgn0263864	YME1L	Dark	genetic
FBgn0004647	FBgn0000524	N	dx	genetic
FBgn0010215	FBgn0003514	α-Cat	sqh	genetic
FBgn0014010	FBgn0264975	Rab5	Nrg	genetic
FBgn0003366|FBgn0001965	FBgn0015905	sev|Sos	ast	genetic
FBgn0005638	FBgn0285896	slbo	btl	genetic
FBgn0003042	FBgn0037659	Pc	Kdm2	genetic
FBgn0010051	FBgn0052190	Itpr	NUCB1	genetic
FBgn0005632	FBgn0003205	faf	Ras85D	genetic
FBgn0000711	FBgn0000229	flw	bsk	genetic
FBgn0010382	FBgn0286785	CycE	scb	genetic
FBgn0003731	FBgn0263102	Egfr	psq	genetic
FBgn0002543	FBgn0005631	robo2	robo1	genetic
FBgn0005386	FBgn0037659	ash1	Kdm2	genetic
FBgn0052666	FBgn0000711	Drak	flw	genetic
FBgn0001250	FBgn0000244	if	by	genetic
FBgn0004859	FBgn0051481	ci	pb	genetic
FBgn0087040	FBgn0086657	αTub67C	IKKε	genetic
FBgn0002622|FBgn0034970	FBgn0243512	RpS3|yki	puc	genetic
FBgn0010382	FBgn0082626	CycE	S(CycE<up>JP</up>)3.2	genetic
FBgn0029891	FBgn0030872	Pink1	Ucp4A	genetic
FBgn0000028	FBgn0086680	acj6	vvl	genetic
FBgn0003996	FBgn0039016	w	Dcr-1	genetic
FBgn0025637	FBgn0000229	SkpA	bsk	genetic
FBgn0003053	FBgn0020307	peb	dve	genetic
FBgn0000346	FBgn0266464	comt	Nsf2	genetic
FBgn0028734	FBgn0021875	Fmr1	Zfrp8	genetic
FBgn0260942	FBgn0035233	bond	Pex10	genetic
FBgn0004872	FBgn0000490	piwi	dpp	genetic
FBgn0284084	FBgn0035142	wg	Hipk	genetic
FBgn0025741	FBgn0011259	PlexA	Sema1a	genetic
FBgn0004861|FBgn0004034	FBgn0003567	ph-p|y	su(Hw)	genetic
FBgn0011648	FBgn0034970	Mad	yki	genetic
FBgn0003042	FBgn0266599	Pc	Hsc70-4	genetic
FBgn0010303	FBgn0011726	hep	tsr	genetic
FBgn0004644	FBgn0263782	hh	Hmgcr	genetic
FBgn0000119	FBgn0039025	arr	Usp12-46	genetic
FBgn0011766	FBgn0011217	E2f1	eff	genetic
FBgn0260747	FBgn0026479	Chchd2	Drp1	genetic
FBgn0266464	FBgn0034135	Nsf2	Syn2	genetic
FBgn0034599	FBgn0040465	hng1	Dlip3	genetic
FBgn0010303	FBgn0000117	hep	arm	genetic
FBgn0033315	FBgn0038755	β3GalTII	Hs6st	genetic
FBgn0003733	FBgn0003079	tor	Raf	genetic
FBgn0003884	FBgn0040080	αTub84B	pins	genetic
FBgn0011829	FBgn0020440	Ret	Fak	genetic
FBgn0002541	FBgn0003005	ld	opht	genetic
FBgn0000463	FBgn0001220	Delta	Hsc70-5	genetic
FBgn0011592	FBgn0005631	fra	robo1	genetic
FBgn0003117	FBgn0001223	pnr	Hsp22	genetic
FBgn0019957	FBgn0267828	ND-42	Fatp1	genetic
FBgn0029891|FBgn0022355	FBgn0039561	Pink1|Tsf1	mfrn	genetic
FBgn0001197	FBgn0020306	His2Av	dom	genetic
FBgn0004101	FBgn0288888	bs	tx	genetic
FBgn0040653	FBgn0067905	Dso1	Dso2	genetic
FBgn0015664	FBgn0022124	Dref	l(2)k06506	genetic
FBgn0004620	FBgn0001148	GluRIIA	gsb	genetic
FBgn0262617	FBgn0040931	Nuak	NdufA3	genetic
FBgn0010382	FBgn0011763	CycE	Dp	genetic
FBgn0261524	FBgn0243512	lic	puc	genetic
FBgn0266464	FBgn0000346	Nsf2	comt	genetic
FBgn0033649	FBgn0033652	pyr	ths	genetic
FBgn0003310	FBgn0259212	S	cno	genetic
FBgn0032956	FBgn0000490	Cul2	dpp	genetic
FBgn0262450	FBgn0003382	mir-312	sha	genetic
FBgn0003416	FBgn0010051	sl	Itpr	genetic
FBgn0004956	FBgn0016131	upd1	Cdk4	genetic
FBgn0003205	FBgn0026379	Ras85D	Pten	genetic
FBgn0003079	FBgn0000097	Raf	aop	genetic
FBgn0033638	FBgn0032919	atos	pths	genetic
FBgn0003042	FBgn0000581	Pc	E(Pc)	genetic
FBgn0010300	FBgn0259211	brat	grh	genetic
FBgn0003997	FBgn0030028	hid	Corp	genetic
FBgn0011706	FBgn0260635	rpr	Diap1	genetic
FBgn0000463|FBgn0283521|FBgn0263102	FBgn0033029	Delta|lola|psq	Not3	genetic
FBgn0087040	FBgn0003655	αTub67C	swa	genetic
FBgn0019804	FBgn0043581	ksr::tor	MESK1	genetic
FBgn0030057	FBgn0003317	Ppt1	sax	genetic
FBgn0000250	FBgn0023441	cact	fus	genetic
FBgn0038889	FBgn0002909	Fancm	mus312	genetic
FBgn0005386	FBgn0286208	ash1	Caf1-55::MRG15	genetic
FBgn0003996	FBgn0004587	w	B52	genetic
FBgn0020386	FBgn0010379	Pdk1	Akt	genetic
FBgn0011706	FBgn0015331	rpr	abs	genetic
FBgn0002945	FBgn0001168	nkd	hry	genetic
FBgn0000163	FBgn0000658	baz	fj	genetic
FBgn0026404	FBgn0263864	Dronc	Dark	genetic
FBgn0004435	FBgn0266719	Gαq	stac	genetic
FBgn0260795	FBgn0259108	NaPi-III	futsch	genetic
FBgn0025800	FBgn0039795	Smox	Spn100A	genetic
FBgn0001961	FBgn0036819	Arpc1	Dysb	genetic
FBgn0001297	FBgn0286070	kay	cnk	genetic
FBgn0086359	FBgn0011211	Invadolysin	blw	genetic
FBgn0263930	FBgn0050418	dally	nord	genetic
FBgn0284084	FBgn0003430	wg	slp1	genetic
FBgn0027598	FBgn0040068	cindr	Vav	genetic
FBgn0011763|FBgn0011766	FBgn0028747	Dp|E2f1	E(E2f)2B	genetic
FBgn0004198	FBgn0003567	ct	su(Hw)	genetic
FBgn0002973	FBgn0260440	numb	spdo	genetic
FBgn0036461	FBgn0051860	Zip71B	ZnT33D	genetic
FBgn0004647	FBgn0027338	N	Kap-α3	genetic
FBgn0004034|FBgn0002781	FBgn0262976	y|mod(mdg4)	lawc	genetic
FBgn0011826	FBgn0063645	Pp2B-14D	CE3-1	genetic
FBgn0004620	FBgn0025936	GluRIIA	Eph	genetic
FBgn0004647	FBgn0000547	N	ed	genetic
FBgn0000463	FBgn0010022	Delta	E(Delta)D165	genetic
FBgn0039044	FBgn0010316	p53	dap	genetic
FBgn0259168	FBgn0038197	mnb	foxo	genetic
FBgn0001320	FBgn0042085	kni	Bap170	genetic
FBgn0003410	FBgn0013726	sina	pnut	genetic
FBgn0036365	FBgn0001259	cmb	in	genetic
FBgn0003975	FBgn0084704	vg	836	genetic
FBgn0025457	FBgn0053542|FBgn0004956	Bub3	upd3|upd1	genetic
FBgn0264959	FBgn0286070	Src42A	cnk	genetic
FBgn0264089	FBgn0013733	sli	shot	genetic
FBgn0002707	FBgn0002709	mei-9	mei-218	genetic
FBgn0031374	FBgn0000147	Wdr62	aurA	genetic
FBgn0011758	FBgn0000097	B-H1	aop	genetic
FBgn0000490	FBgn0029114	dpp	Tollo	genetic
FBgn0004956	FBgn0259176	upd1	bun	genetic
FBgn0003410	FBgn0063645	sina	CE3-1	genetic
FBgn0004198|FBgn0267704	FBgn0087035	ct|lncRNA:flam	AGO2	genetic
FBgn0039044	FBgn0260945	p53	Atg1	genetic
FBgn0003896	FBgn0086680	tup	vvl	genetic
FBgn0004647	FBgn0029891|FBgn0004837	N	Pink1|Su(H)	genetic
FBgn0086898	FBgn0014863	dgo	Mlp84B	genetic
FBgn0003175	FBgn0000575	px	emc	genetic
FBgn0031820	FBgn0260635	Daxx	Diap1	genetic
FBgn0034072	FBgn0011259	Dg	Sema1a	genetic
FBgn0004198	FBgn0033274	ct	CG14757	genetic
FBgn0038197	FBgn0259108	foxo	futsch	genetic
FBgn0283437	FBgn0002576	PPO1	lz	genetic
FBgn0004380	FBgn0028421	Klp64D	Kap3	genetic
FBgn0033483	FBgn0010303	egr	hep	genetic
FBgn0004618	FBgn0004644	gl	hh	genetic
FBgn0014133	FBgn0027356	bif	Amph	genetic
FBgn0011766	FBgn0000581	E2f1	E(Pc)	genetic
FBgn0263289	FBgn0260635	scrib	Diap1	genetic
FBgn0003515	FBgn0000337	st	cn	genetic
FBgn0005198|FBgn0015799	FBgn0026404	gig|Rbf	Dronc	genetic
FBgn0003651	FBgn0003731	svp	Egfr	genetic
FBgn0015589	FBgn0026598	Apc	Apc2	genetic
FBgn0011715	FBgn0002783	Snr1	mor	genetic
FBgn0011202	FBgn0005672	dia	spi	genetic
FBgn0003392	FBgn0003360	shi	sesB	genetic
FBgn0003371	FBgn0027549	sgg	Nulp1	genetic
FBgn0002121|FBgn0003205	FBgn0283471	l(2)gl|Ras85D	wupA	genetic
FBgn0000490	FBgn0084894	dpp	Su(dpp)YE31	genetic
FBgn0005386|FBgn0003862	FBgn0003334	ash1|trx	Scm	genetic
FBgn0020299|FBgn0285896	FBgn0014020	stumps|btl	Rho1	genetic
FBgn0002121	FBgn0013718	l(2)gl	nuf	genetic
FBgn0005660	FBgn0030964	Ets21C	Pvf1	genetic
FBgn0036005	FBgn0014011	pall	Rac2	genetic
FBgn0001077	FBgn0082680	ftz	E(ftz)4038	genetic
FBgn0011737|FBgn0040298	FBgn0004647	Wee1|Myt1	N	genetic
FBgn0086680	FBgn0003896	vvl	tup	genetic
FBgn0015799	FBgn0260945	Rbf	Atg1	genetic
FBgn0003997	FBgn0003256	hid	rl	genetic
FBgn0003862|FBgn0000212	FBgn0020306	trx|brm	dom	genetic
FBgn0004198	FBgn0261885	ct	osa	genetic
FBgn0030018	FBgn0010303	slpr	hep	genetic
FBgn0005355	FBgn0001079	Su(fu)	fu	genetic
FBgn0004644	FBgn0043561	hh	Su(hh)VI	genetic
FBgn0029891	FBgn0041100	Pink1	park	genetic
FBgn0037875	FBgn0024236	ZnT86D	foi	genetic
FBgn0263667	FBgn0034246	Lpt	Dcr-2	genetic
FBgn0011211	FBgn0011763	blw	Dp	genetic
FBgn0259923	FBgn0041100	Septin4	park	genetic
FBgn0000212	FBgn0000463	brm	Delta	genetic
FBgn0034012	FBgn0283472	Hr51	S6k	genetic
FBgn0011592	FBgn0024277	fra	trio	genetic
FBgn0001297	FBgn0011260	kay	Sema2a	genetic
FBgn0003209	FBgn0287873	raw	zip	genetic
FBgn0041100	FBgn0030872	park	Ucp4A	genetic
FBgn0011766	FBgn0286781	E2f1	cass	genetic
FBgn0025615	FBgn0069938	Torsin	Cnep1r1	genetic
FBgn0033483|FBgn0020496	FBgn0001297	egr|CtBP	kay	genetic
FBgn0031759	FBgn0003391	Kdm5	shg	genetic
FBgn0019957	FBgn0086372	ND-42	lap	genetic
FBgn0037098	FBgn0013751	Wnk	Awh	genetic
FBgn0262955	FBgn0025127	Polr2B	su(RpII140<up>Z36</up>)S2	genetic
FBgn0026379	FBgn0001942	Pten	eIF4A	genetic
FBgn0003651	FBgn0013725	svp	phyl	genetic
FBgn0016672	FBgn0284421	Ipp	Psn	genetic
FBgn0003862	FBgn0002781	trx	mod(mdg4)	genetic
FBgn0003205	FBgn0003206	Ras85D	Ras64B	genetic
FBgn0011706	FBgn0032475	rpr	Sfmbt	genetic
FBgn0262738	FBgn0013770	norpA	CtsL1	genetic
FBgn0086710	FBgn0011763	RpL30	Dp	genetic
FBgn0034072	FBgn0032924	Dg	Nbr	genetic
FBgn0046704	FBgn0024277	Liprin-α	trio	genetic
FBgn0013724	FBgn0020238	Raf::tor	14-3-3ε	genetic
FBgn0085430	FBgn0000578	Dora	ena	genetic
FBgn0040475	FBgn0003205	SH3PX1	Ras85D	genetic
FBgn0032006	FBgn0040505	Pvr	Alk	genetic
FBgn0262869	FBgn0000635	Gfrl	Fas2	genetic
FBgn0029891	FBgn0024248	Pink1	chico	genetic
FBgn0287585	FBgn0026576	Pss	Pisd	genetic
FBgn0031114	FBgn0262125	cactin	Sec23	genetic
FBgn0002781	FBgn0023163	mod(mdg4)	Su(mg)1-4	genetic
FBgn0010433	FBgn0004644	ato	hh	genetic
FBgn0001276	FBgn0000490	ix	dpp	genetic
FBgn0288631	FBgn0264975	Yif1	Nrg	genetic
FBgn0003118	FBgn0003205	pnt	Ras85D	genetic
